iter	Passed	Remaining
695	4743	2071
696	4750	2065
697	4757	2058
698	4764	2051
699	4770	2044
700	4777	2037
701	4784	2031
702	4791	2024
703	4798	2017
704	4805	2010
705	4811	2003
706	4818	1997
707	4825	1990
708	4831	1983
709	4838	1976
710	4846	1969
711	4853	1963
712	4860	1956
713	4866	1949
714	4872	1942
715	4879	1935
716	4886	1928
717	4892	1921
718	4898	1914
719	4904	1907
720	4911	1900
721	4918	1893
722	4925	1886
723	4932	1880
724	4939	1873
725	4946	1867
726	4953	1860
727	4960	1853
728	4966	1846
729	4974	1839
730	4981	1833
731	4988	1826
732	4994	1819
733	5001	1812
734	5009	1806
735	5016	1799
736	5023	1792
737	5030	1785
738	5037	1779
739	5044	1772
740	5050	1765
741	5058	1758
742	5064	1751
743	5071	1745
744	5078	1738
745	5085	1731
746	5092	1724
747	5098	1717
748	5105	1710
749	5112	1704
750	5118	1697
751	5125	1690
752	5132	1683
753	5139	1676
754	5146	1670
755	5153	1663
756	5160	1656
757	5167	1649
758	5174	1643
759	5181	1636
760	5188	1629
761	5195	1622
762	5202	1615
763	5208	1608
764	5216	1602
765	5222	1595
766	5229	1588
767	5236	1581
768	5242	1574
769	5249	1567
770	5256	1561
771	5263	1554
772	5270	1547
773	5277	1540
774	5284	1534
775	5290	1527
776	5297	1520
777	5304	1513
778	5311	1506
779	5318	1500
780	5325	1493
781	5332	1486
782	5339	1479
783	5346	1473
784	5353	1466
785	5360	1459
786	5367	1452
787	5373	1445
788	5379	1438
789	5386	1431
790	5393	1425
791	5400	1418
792	5407	1411
793	5414	1404
794	5420	1397
795	5427	1390
796	5433	1384
797	5440	1377
798	5447	1370
799	5454	1363
800	5460	1356
801	5467	1349
802	5474	1343
803	5481	1336
804	5488	1329
805	5496	1322
806	5502	1315
807	5508	1309
808	5515	1302
809	5522	1295
810	5529	1288
811	5535	1281
812	5543	1275
813	5549	1268
814	5556	1261
815	5563	1254
816	5570	1247
817	5576	1240
818	5584	1234
819	5591	1227
820	5597	1220
821	5621	1217
822	5627	1210
823	5634	1203
824	5641	1196
825	5647	1189
826	5654	1182
827	5660	1175
828	5667	1168
829	5673	1162
830	5680	1155
831	5687	1148
832	5693	1141
833	5700	1134
834	5706	1127
835	5712	1120
836	5719	1113
837	5725	1106
838	5732	1100
839	5739	1093
840	5746	1086
841	5753	1079
842	5759	1072
843	5766	1065
844	5773	1059
845	5780	1052
846	5787	1045
847	5793	1038
848	5799	1031
849	5805	1024
850	5812	1017
851	5819	1010
852	5825	1003
853	5832	997
854	5838	990
855	5845	983
856	5851	976
857	5858	969
858	5864	962
859	5871	955
860	5877	948
861	5884	941
862	5890	935
863	5896	928
864	5902	921
865	5909	914
866	5916	907
867	5922	900
868	5928	893
869	5935	886
870	5942	880
871	5948	873
872	5954	866
873	5961	859
874	5967	852
875	5973	845
876	5979	838
877	5986	831
878	5992	824
879	5999	818
880	6005	811
881	6011	804
882	6018	797
883	6024	790
884	6031	783
885	6036	776
886	6042	769
887	6049	762
888	6056	756
889	6062	749
890	6069	742
891	6075	735
892	6081	728
893	6088	721
894	6094	714
895	6101	708
896	6107	701
897	6113	694
898	6120	687
899	6126	680
900	6133	673
901	6140	667
902	6147	660
903	6153	653
904	6159	646
905	6165	639
906	6172	632
907	6178	625
908	6184	619
909	6190	612
910	6197	605
911	6203	598
912	6209	591
913	6215	584
914	6221	577
915	6227	571
916	6234	564
917	6240	557
918	6246	550
919	6253	543
920	6259	536
921	6265	530
922	6271	523
923	6277	516
924	6284	509
925	6290	502
926	6296	495
927	6303	489
928	6309	482
929	6315	475
930	6322	468
931	6328	461
932	6335	454
933	6341	448
934	6347	441
935	6354	434
936	6360	427
937	6366	420
938	6372	413
939	6379	407
940	6385	400
941	6392	393
942	6399	386
943	6405	379
944	6412	373
945	6419	366
946	6425	359
947	6432	352
948	6438	346
949	6445	339
950	6451	332
951	6458	325
952	6465	318
953	6471	312
954	6477	305
955	6483	298
956	6490	291
957	6496	284
958	6502	278
959	6509	271
960	6515	264
961	6522	257
962	6528	250
963	6534	244
964	6541	237
965	6547	230
966	6554	223
967	6561	216
968	6568	210
969	6574	203
970	6581	196
971	6587	189
972	6593	182
973	6600	176
974	6606	169
975	6612	162
976	6619	155
977	6625	149
978	6631	142
979	6637	135
980	6643	128
981	6650	121
982	6657	115
983	6663	108
984	6669	101
985	6675	94
986	6681	88
987	6688	81
988	6694	74
989	6701	67
990	6707	60
991	6714	54
992	6720	47
993	6726	40
994	6733	33
995	6739	27
996	6746	20
997	6752	13
998	6759	6
999	6764	0
