电影名,电影id,年代,时光评分,评论人数,导演,编剧,类型,国家地区,发行公司,片长,上映日期,剧情介绍,主演
"贝肯熊：火星任务

(
2023
)",274615,2023,0,0人评分,王超,刘珮如王超王奕霖,动画/冒险/喜剧,中国,上海淘票票影视文化有限公司,96分钟,9月28日2023年,最倒霉的特工贝肯熊，为了重获认可，偷偷混入火星任务，不料却闯进了火星里的神秘世界，和要抓捕的火星怪物成为了朋友。在特工荣誉和友情之间，他将面临一场前所未有的考验。,
"封神第一部

(
2023
)",164691,2023,7.5,973人评分,乌尔善,冉平冉甲男乌尔善,奇幻/战争/古装,中国,天津猫眼微影文化传媒有限公司,148分钟,7月20日2023年,中国国民神话史诗大片，震撼视效燃炸暑假！《封神第一部》讲述商王殷寿与狐妖妲己勾结，暴虐无道，引发天谴。昆仑仙人姜子牙携“封神榜”下山，寻找天下共主，以救苍生。西伯侯之子姬发逐渐发现殷寿的本来面目，反出朝歌。各方势力暗流涌动，风云变幻端倪初显……三千年想象成真，恢弘史诗再创新，见证中国神话崛起！,"费翔KrisPhillips
饰?商王殷寿

李雪健XuejianLi
饰?西伯侯姬昌

娜然Naran
饰?妲己

黄渤BoHuang
饰?姜子牙"
"鹦鹉杀

(
2023
)",272076,2023,0,27人评分,麻赢心,麻赢心,悬疑/犯罪,中国,,100分钟,9月15日2023年,电影故事源自大量“杀猪盘”真实案例！都市白领周冉（周冬雨?饰）在一次网恋中，被骗走了55万。循着骗子留下的蛛丝马迹，周冉来到沿海小城，并意外结识了小镇青年林致光（章宇饰）和许照（张宥浩饰）。周冉渐渐发现二人身上隐藏着自己受骗的线索，一场复仇之计也由此展开……,"周冬雨DongyuZhou
章宇YuZhang
张宥浩YouhaoZhang
李梦MengLi"
"汪汪队立大功大电影2：超能大冒险

(
2023
)",271167,2023,0,0人评分,卡尔·布伦克尔,BobBarlenBobBarlen卡尔·布伦克尔,动画/动作/奇幻,美国,,92分钟,9月29日2023年,第二部中会有一颗神奇的流星来袭，让汪汪队成员都有了超能力，而韩丁那市长依然在搞事情……,"詹姆斯·麦斯登JamesMarsden
麦肯纳·格蕾丝MckennaGrace
伊恩·阿米蒂奇IainArmitage
克里斯汀·贝尔KristenBell"
"学爸

(
2023
)",270250,2023,7.1,87人评分,苏亮,苏亮,剧情/喜剧,中国,天津猫眼微影文化传媒有限公司中国电影股份有限公司北京电影发行分公司,118分钟,8月18日2023年,看黄渤监制高口碑新片笑着笑着就哭了！治愈焦虑的最强解药，是有人无条件地爱着你。黄渤携可爱萌娃单禹豪演绎欢乐又曲折的成长故事，现实主义戳心引发高度共鸣，“卷不动又躺不平”的人生百态直击人心！雷大力（黄渤饰）为了让儿子雷小米（单禹豪饰）能够拥有更高的人生起点，在单亲妈妈刘真真（闫妮饰）的带领下，被迫卷入了“幼升小”的激烈角逐。又在火哥（张子贤饰）和火嫂（万茜饰）的影响下，不惜倾尽所有购入学区房，重重压力让父子二人的生活变得不堪一击。雷小米小姨（张钧甯饰）的出现，又让雷大力领悟了“拼娃”的本质是“拼父母”……面对残酷的现实，父子如何苦中作乐，如何逆势破局？在现实中难免挣扎的我们，又该做出怎样的人生抉择？,"黄渤BoHuang
饰?雷大力

单禹豪
饰?雷小米

闫妮NiYan
饰?刘真真

张钧甯Chun-NingChang
饰?高亚琳"
"不虚此行

(
2023
)",271853,2023,0,30人评分,刘伽茵,刘伽茵,剧情,中国,上海淘票票影视文化有限公司,118分钟,9月9日2023年,人这一生怎样才算不虚此行？闻善（胡歌饰）在平衡自己与世界的关系中寻找着答案。他是一个“掉队”的普通编剧，一次偶然的机会让他改以撰写悼词为生。在与各色普通人的相遇里，闻善慰藉他人、也获得了温暖，最终找到了自己的人生方向。,"胡歌Hugh
饰?饰闻善

吴磊LeiWu
饰?饰小尹

齐溪XiQi
饰?饰邵金穗

娜仁花RenhuaNa
饰?饰方阿姨"
"长安三万里

(
2023
)",272782,2023,8.2,491人评分,谢君伟,红泥小火炉,动画/历史,中国,浙江东阳小宇宙影视传媒有限公司,168分钟,7月8日2023年,安史之乱爆发后数年，吐蕃大军攻打西南。大唐节度使高适交战不利，长安岌岌可危。困守孤城的高适向监军太监回忆起自己与李白的一生往事。,"杨天翔TianxiangYang
饰?高适

凌振赫ZhenheLing
饰?李白

吴俊全JunquanWu
饰?老年高适

宣晓鸣XiaomingXuan
饰?老年李白"
"我是哪吒2之英雄归来

(
2023
)",267355,2023,0,0人评分,,王震,中国,中国,,,9月29日2023年,,
"巨齿鲨2：深渊

(
2023
)",270273,2023,6.2,334人评分,本·维特利,乔·霍贝尔埃里希·霍贝尔迪恩·乔格瑞斯,动作/科幻/冒险,中国,上海华人影业有限公司五洲电影发行有限公司中国电影股份有限公司北京电影发行分公司,119分钟,8月4日2023年,海洋霸主巨齿鲨，今夏再掀狂澜！乔纳斯·泰勒（杰森·斯坦森饰）与科学家张九溟（吴京饰）双雄联手，进入海底7000米深渊执行探索任务。他们意外遭遇史前巨兽海洋霸主巨齿鲨群的攻击，还将对战凶猛危险的远古怪兽群。惊心动魄的深渊冒险，巨燃巨爽的深海大战一触即发……,"杰森·斯坦森JasonStatham
吴京JingWu
蔡书雅ShuyaSophiaCai
克利夫·柯蒂斯CliffCurtis"
"功夫王之萌虎上山

(
2023
)",274071,2023,0,0人评分,,,动画/奇幻/冒险,中国,,80分钟,9月29日2023年,一夜之间，虎门武馆馆主惨遭毒手，少馆主乐乐也被神秘人物追杀，为报父仇和查清事情背后的真相，乐乐带着小伙伴毅然踏上前往功夫山的征程，前方的路会是一马平川的坦途吗？为了阻止乐乐，圣武堂接连派出各大高手阻拦，乐乐的前途究竟如何？,
